month,events,total_affected,median_affected
2023-02-01,1,566,566.0
2023-03-01,1,39674,39674.0
2023-08-01,2,579168,289584.0
2023-10-01,1,10833,10833.0
2023-11-01,5,144898,9240.0
2023-12-01,11,4977376,63776.0
2024-01-01,15,3275724,23686.0
2024-02-01,11,921501,3640.0
2024-03-01,16,754256,3617.5
2024-04-01,20,15804872,36214.0
2024-05-01,21,8506307,81588.0
2024-06-01,14,2215483,15099.5
2024-07-01,21,199949223,4648.0
2024-08-01,25,9284810,40964.0
2024-09-01,20,1716974,19597.0
2024-10-01,36,4509620,8197.0
2024-11-01,38,4739496,6196.5
2024-12-01,31,2334122,3621.0
2025-01-01,37,3324368,3771.0
2025-02-01,39,2316696,8472.0
2025-03-01,39,2035257,7100.0
2025-04-01,56,7422170,4317.0
2025-05-01,55,1296631,4895.0
2025-06-01,74,7945603,4346.0
2025-07-01,51,4431003,4764.0
2025-08-01,63,3798976,2974.0
2025-09-01,34,1498883,4907.5
2025-10-01,3,55439,10800.0
2025-11-01,2,2560,1280.0
